"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"158",-1.5,1,0.2,0,1,0.1765155,0.4233357,-0.000302900000000106,3,4,1,2,4,2,1,3,2,3,1,4,3,4,1,2
"159",-1.5,1,0.2,0.5,1,0.1850638,0.4625462,-7.5200000000053e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"160",-1.5,1,0.2,1,1,0.1846811,0.4764678,7.1199999999938e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"161",-1.5,1,0.2,1.5,1,0.1805744,0.4744412,-0.000112099999999948,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"162",-1.5,1,0.75,-1.5,1,0.0497502,0.0725703999999999,8.29999999996112e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"163",-1.5,1,0.75,-1,1,0.110474,0.2336408,-9.85999999999487e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"164",-1.5,1,0.75,-0.5,1,0.153451,0.3526443,-0.000337400000000043,3,2,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"165",-1.5,1,0.75,0,1,0.1767071,0.4234958,-0.000132600000000038,3,4,1,2,4,2,1,3,2,3,1,4,3,4,1,2
"166",-1.5,1,0.75,0.5,1,0.1848845,0.4627382,-0.000290000000000123,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"167",-1.5,1,0.75,1,1,0.1845212,0.4759495,-0.000168599999999963,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"168",-1.5,1,0.75,1.5,1,0.1803833,0.4744282,-0.00022589999999989,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"169",-1.5,1,-0.75,-1.5,1.5,0.0433276,0.047667,-1.49000000000399e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"170",-1.5,1,-0.75,-1,1.5,0.1047251,0.1941175,-0.000303100000000001,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
