"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...11",-1.5,-1.5,0.2,1,0.0375238,-0.3097363,-0.0325647,-0.1267453,0.0375238,-0.3073001,-0.1913593,-0.1267453,0.1563584,0.000872299999999993,-0.3073001,-0.1913593,-0.0519416,0.1182552,0.0373976,-0.3407383,-0.00160040000000006,-0.1264429,-0.000138500000000041
"Ys0...12",-1.5,-1.5,0.2,1.5,0.035133,-0.3056415,-0.0341513,-0.097126,0.035133,-0.3050142,-0.2001068,-0.097126,0.1653282,-0.0021719,-0.3050142,-0.2001068,-0.0526312000000001,0.157958,0.0353134,-0.3370067,-0.00297839999999994,-0.0969186000000001,-0.000195499999999904
"Ys0...13",-1.5,-1.5,0.75,-1.5,0.0147016,-0.1718702,-0.0374921,-0.0696804,0.0147016,-0.1792789,-0.0474423,-0.0696804,0.0173589000000001,0.0331669,-0.1792789,-0.0474423,0.1437563,-0.2145055,0.0147974,-0.2190347,0.00934030000000008,-0.0694852,4.11000000000161e-05
"Ys0...14",-1.5,-1.5,0.75,-1,0.0350910999999999,-0.2164296,-0.0735393,-0.1243191,0.0350910999999999,-0.2503486,-0.0960897000000001,-0.1243191,0.0564694,0.0272279999999999,-0.2503486,-0.0960897000000001,0.0961906,-0.1560216,0.0350678,-0.2999759,0.0098454,-0.1241687,3.44999999999374e-05
"Ys0...15",-1.5,-1.5,0.75,1,0.0375081,-0.2203023,-0.1221323,-0.1264811,0.0375081,-0.3071983,-0.1912128,-0.1264811,0.1559765,0.000903600000000004,-0.3071983,-0.1912128,-0.0516255999999999,0.1179994,0.0374401,-0.3406098,-0.00196050000000003,-0.126258,-1.94000000000027e-05
"Ys0...16",-1.5,-1.5,0.75,1.5,0.0353104,-0.2141452,-0.1257696,-0.0970611,0.0353104,-0.3049337,-0.2000915,-0.0970611,0.1651104,-0.00202140000000001,-0.3049337,-0.2000915,-0.0525789,0.157987,0.0351055,-0.3369082,-0.00304070000000001,-0.0968690999999999,4.70000000000192e-05
"Ys0...17",-1.5,-1,-0.75,-1.5,0.00992190000000004,-0.2721573,0.0103141,-0.0123323000000001,0.00992190000000004,-0.2000632,-0.0629983,-0.0123323000000001,0.00121830000000001,0.0369174999999999,-0.2000632,-0.0629983,0.1698586,-0.2078691,0.00958809999999999,-0.2353942,-0.0264761999999999,-0.0123841,0.000412799999999991
"Ys0...18",-1.5,-1,-0.75,-1,0.0334118,-0.3738225,0.0133696000000001,-0.042537,0.0334118,-0.2593971,-0.1285615,-0.042537,0.0275057,0.0291425,-0.2593971,-0.1285615,0.1285519,-0.1393026,0.0334939000000001,-0.2983923,-0.0623017,-0.0424994,0.000121399999999938
"Ys0...19",-1.5,-1,-0.75,1,0.031704,-0.4051408,-0.0483001,-0.062259,0.031704,-0.2851128,-0.2845121,-0.062259,0.116184,0.00299329999999998,-0.2851128,-0.2845121,-0.0114738999999999,0.0940577,0.0315693,-0.2960535,-0.1575741,-0.0620754,0.000137799999999966
"Ys0...20",-1.5,-1,-0.75,1.5,0.0281226,-0.3871131,-0.0676679,-0.0521721000000001,0.0281226,-0.2774624,-0.3026897,-0.0521721000000001,0.1253711,0.00055369999999999,-0.2774624,-0.3026897,-0.0181272,0.1188668,0.0282176,-0.2856272,-0.1696799,-0.0518149999999999,7.39999999999075e-05
"Ys0...21",-1.5,-1,-0.2,-1.5,0.00980119999999995,-0.2449857,-0.0169497,-0.0120341,0.00980119999999995,-0.1999598,-0.0628405999999999,-0.0120341,0.000865000000000005,0.0365633999999999,-0.1999598,-0.0628405999999999,0.1698126,-0.2075882,0.00992989999999994,-0.235663,-0.0265503,-0.0122247,0.000339800000000001
"Ys0...22",-1.5,-1,-0.2,-1,0.0335128,-0.3166138,-0.0438522,-0.0424945,0.0335128,-0.2595703,-0.1285934,-0.0424945,0.0276977,0.0293751,-0.2595703,-0.1285934,0.1286879,-0.13927,0.0334939000000001,-0.2983923,-0.0623017,-0.0424994,0.000251800000000024
"Ys0...23",-1.5,-1,-0.2,1,0.0315886,-0.3198757,-0.1334802,-0.0621668000000001,0.0315886,-0.2852678,-0.2845712,-0.0621668000000001,0.1164831,0.00307099999999999,-0.2852678,-0.2845712,-0.01163,0.094267,0.0315815,-0.2961678,-0.1574889,-0.0621792,0.00032029999999994
"Ys0...24",-1.5,-1,-0.2,1.5,0.0280528,-0.3084551,-0.1464852,-0.0519173999999999,0.0280528,-0.2774648,-0.3027322,-0.0519173999999999,0.1252567,0.00049189999999999,-0.2774648,-0.3027322,-0.0178729999999999,0.1187634,0.0281211,-0.2857748,-0.1693952,-0.0519969,0.000240900000000099
"Ys0...25",-1.5,-1,0.2,-1.5,0.00973889999999999,-0.2259166,-0.0361147000000001,-0.0122976,0.00973889999999999,-0.2000186,-0.0631427,-0.0122976,0.00113000000000008,0.0366203000000001,-0.2000186,-0.0631427,0.1700094,-0.2081206,0.0100309,-0.2357606,-0.026667,-0.0120417,-0.000151599999999918
"Ys0...26",-1.5,-1,0.2,-1,0.0336706999999999,-0.2808245,-0.0800233,-0.0425285,0.0336706999999999,-0.2595929,-0.1287525,-0.0425285,0.0274976000000001,0.0294303,-0.2595929,-0.1287525,0.1288593,-0.1395821,0.0335997,-0.2983477,-0.0622809,-0.0426743000000001,-2.39999999995799e-06
"Ys0...27",-1.5,-1,0.2,1,0.0316088,-0.2737987,-0.1801206,-0.0620389,0.0316088,-0.2850924,-0.2846565,-0.0620389,0.1158296,0.00296599999999997,-0.2850924,-0.2846565,-0.0114717,0.0939375,0.0313767,-0.2960675,-0.1575493,-0.0619333000000001,-0.000175999999999954
"Ys0...28",-1.5,-1,0.2,1.5,0.0282239,-0.2638846,-0.1914843,-0.0520518000000001,0.0282239,-0.277561,-0.3028549,-0.0520518000000001,0.125047,0.000473100000000004,-0.277561,-0.3028549,-0.0182346999999999,0.1187933,0.0283237,-0.2856826,-0.1696719,-0.0520841999999999,-8.18000000001318e-05
"Ys0...29",-1.5,-1,0.75,-1.5,0.00963970000000003,-0.1998592,-0.0620991000000001,-0.0122407,0.00963970000000003,-0.1999591,-0.0630186,-0.0122407,0.00101939999999989,0.0366297,-0.1999591,-0.0630186,0.169911,-0.2081181,0.00995790000000008,-0.2356779,-0.0265342000000001,-0.0123352,3.00999999999219e-05
"Ys0...30",-1.5,-1,0.75,-1,0.0336978,-0.2351392,-0.1256176,-0.0424934,0.0336978,-0.2594659,-0.1287006,-0.0424934,0.0274097000000001,0.0293597,-0.2594659,-0.1287006,0.1286372,-0.139337,0.0335997,-0.2983477,-0.0622809,-0.0426743000000001,0.000150800000000006
"Ys0...31",-1.5,-1,0.75,1,0.0315949,-0.2129837,-0.240724,-0.0622454,0.0315949,-0.28528,-0.2844675,-0.0622454,0.1160398,0.00304080000000001,-0.28528,-0.2844675,-0.0115261,0.0938277,0.0316142,-0.2960457,-0.1576572,-0.0620642,-0.000205300000000075
"Ys0...32",-1.5,-1,0.75,1.5,0.027962,-0.2024255,-0.2527155,-0.0520669,0.027962,-0.2774754,-0.3029977,-0.0520669,0.1253321,0.000479300000000016,-0.2774754,-0.3029977,-0.0179731999999999,0.1185834,0.028042,-0.2856848,-0.1696695,-0.0518032,-0.000130399999999975
"Ys0...33",-1.5,0,-0.75,-1.5,0.0131414,-0.289233,-0.0172864,0.116127,0.0131414,-0.2492597,-0.0712478999999999,0.116127,0.0139881999999999,0.0595443999999999,-0.2492597,-0.0712478999999999,0.2237958,-0.1399434,0.0133412000000001,-0.2616345,-0.0452269000000001,0.1164613,-0.000192100000000028
"Ys0...34",-1.5,0,-0.75,-1,0.0463533,-0.3136417,-0.0682315,0.0444094,0.0463533,-0.2639405,-0.1596687,0.0444094,0.041736,0.042831,-0.2639405,-0.1596687,0.1596462,-0.0700911,0.0462636,-0.2639547,-0.1182101,0.0444011999999999,0.000389500000000154
"Ys0...35",-1.5,0,-0.75,1,0.0634423,-0.108856,-0.3946641,-0.0143409999999999,0.0634423,-0.1579792,-0.4280519,-0.0143409999999999,0.082511,0.0127047,-0.1579792,-0.4280519,-0.0119009,0.1310712,0.0633955,-0.1228652,-0.3806702,-0.0144255999999999,0.000146699999999944
