"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...209",0.5,1,-0.75,-1.5,NA,NA,NA,0.2859141,NA,NA,NA,0.2859141,NA,NA,NA,NA,NA,0.2874799,NA,NA,0.0225922,0.000850499999999976,0.00810770000000005,0.2862131,NA,NA
"Ys0...210",0.5,1,-0.75,-1,NA,NA,NA,0.1974583,NA,NA,NA,0.1974583,NA,NA,NA,NA,NA,0.2077917,NA,NA,0.0188425,-0.00361120000000004,0.0135529000000001,0.1975682,NA,NA
"Ys0...211",0.5,1,-0.75,1,NA,NA,NA,0.0339969,NA,NA,NA,0.0339969,NA,NA,NA,NA,NA,0.0381327,NA,NA,0.0158625,-0.00935549999999996,0.0199086000000001,0.0340644999999999,NA,NA
"Ys0...212",0.5,1,-0.75,1.5,NA,NA,NA,0.0281827,NA,NA,NA,0.0281827,NA,NA,NA,NA,NA,0.0287469,NA,NA,0.0158939,-0.00957580000000002,0.0201424,0.0280963,NA,NA
"Ys0...213",0.5,1,-0.2,-1.5,0.0225610000000001,-8.89999999997837e-06,0.00894429999999991,0.2860459,0.0225610000000001,0.00488599999999995,0.00323479999999998,0.2860459,0.000814599999999999,-0.00489489999999992,0.0232252000000001,0.00488599999999995,0.00323479999999998,0.2875116,-0.00126649999999995,-0.00489489999999992,0.0226636,0.000797699999999901,0.0080112,0.2861751,-0.000105299999999864,-0.00080659999999988
"Ys0...214",0.5,1,-0.2,-1,0.0188436000000001,-0.00505680000000008,0.0150314,0.1974486,0.0188436000000001,0.00363210000000003,0.00501360000000006,0.1974486,0.00132889999999986,-0.00868890000000011,0.0163647,0.00363210000000003,0.00501360000000006,0.2079551,-0.00660760000000005,-0.00868890000000011,0.0188292,-0.00354160000000003,0.0134363000000001,0.197322,0.000220899999999968,-0.00151520000000005
"Ys0...215",0.5,1,-0.2,1,0.0158394000000001,-0.0118203,0.0223722,0.0342248000000001,0.0158394000000001,0.00181519999999991,0.00644649999999991,0.0342248000000001,0.00229020000000013,-0.0136354999999999,0.00973040000000003,0.00181519999999991,0.00644649999999991,0.0381598000000001,0.00441820000000004,-0.0136354999999999,0.0159134,-0.00944350000000005,0.0200381000000001,0.03418,-7.18999999999026e-05,-0.00237679999999996
"Ys0...216",0.5,1,-0.2,1.5,0.0158528,-0.012168,0.0227003,0.0282036,0.0158528,0.00184909999999994,0.00643070000000001,0.0282036,0.0022525000000001,-0.0140170999999999,0.00949460000000002,0.00184909999999994,0.00643070000000001,0.028821,0.00797520000000007,-0.0140170999999999,0.0160005000000001,-0.00979020000000008,0.0202499,0.0281326,-4.09999999995136e-06,-0.00237779999999987
"Ys0...217",0.5,1,0.2,-1.5,0.0226202,0.00165159999999998,0.00721430000000001,0.2860459,0.0226202,0.00493029999999994,0.00319120000000006,0.2860459,0.000744399999999978,-0.00327869999999997,0.0231946000000001,0.00493029999999994,0.00319120000000006,0.2875116,-0.00129049999999997,-0.00327869999999997,0.0226636,0.000797699999999901,0.0080112,0.2861751,-0.000115599999999882,0.000853900000000074
"Ys0...218",0.5,1,0.2,-1,0.0188630000000001,-0.00201879999999999,0.0119665999999999,0.1974486,0.0188630000000001,0.00360209999999994,0.00501390000000002,0.1974486,0.00133179999999999,-0.00562089999999993,0.0163804000000001,0.00360209999999994,0.00501390000000002,0.2079551,-0.00660070000000001,-0.00562089999999993,0.0188292,-0.00354160000000003,0.0134363000000001,0.197322,0.000213499999999978,0.00152280000000005
