"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"115",-1.5,1,-0.75,-0.5,0.5,0.000203000000000064,-0.00172069999999991,4.66000000000077e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"116",-1.5,1,-0.75,0,0.5,0.000267000000000017,-0.00122680000000008,6.6400000000022e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"117",-1.5,1,-0.75,0.5,0.5,0.000263000000000124,-0.000639300000000009,7.53000000000004e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"118",-1.5,1,-0.75,1,0.5,0.000242499999999923,-0.000175299999999989,7.05000000000844e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"119",-1.5,1,-0.75,1.5,0.5,0.000262600000000113,0.000185199999999996,4.00999999999874e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"120",-1.5,1,-0.2,-1.5,0.5,9.80999999999899e-05,-0.00251020000000002,4.82999999998901e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"121",-1.5,1,-0.2,-1,0.5,0.000136100000000083,-0.00221079999999996,6.41000000000114e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"122",-1.5,1,-0.2,-0.5,0.5,0.00022639999999996,-0.00177459999999996,2.38999999999656e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"123",-1.5,1,-0.2,0,0.5,0.000293199999999993,-0.00127820000000001,4.44000000000555e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"124",-1.5,1,-0.2,0.5,0.5,0.000299700000000125,-0.000688099999999969,5.16000000000405e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"125",-1.5,1,-0.2,1,0.5,0.000289700000000059,-0.000222100000000114,4.8000000000048e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"126",-1.5,1,-0.2,1.5,0.5,0.000293199999999993,0.000139200000000006,1.79000000000151e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"127",-1.5,1,0.2,-1.5,0.5,0.000130100000000022,-0.0024824,7.69999999998827e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"128",-1.5,1,0.2,-1,0.5,0.000183500000000003,-0.00217400000000001,0.000103100000000023,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"129",-1.5,1,0.2,-0.5,0.5,0.000276900000000024,-0.00173869999999998,6.0799999999972e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"130",-1.5,1,0.2,0,0.5,0.000342700000000029,-0.00124430000000009,7.82999999999756e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"131",-1.5,1,0.2,0.5,0.5,0.000357400000000063,-0.000653299999999968,8.69000000000009e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"132",-1.5,1,0.2,1,0.5,0.000341800000000059,-0.000186400000000031,8.28000000000495e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"133",-1.5,1,0.2,1.5,0.5,0.000341800000000059,0.000176800000000088,5.46000000000157e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"134",-1.5,1,0.75,-1.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"135",-1.5,1,0.75,-1,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"136",-1.5,1,0.75,-0.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"137",-1.5,1,0.75,0,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"138",-1.5,1,0.75,0.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"139",-1.5,1,0.75,1,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"140",-1.5,1,0.75,1.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"141",-1.5,1,-0.75,-1.5,1,0.000197500000000073,-0.00586520000000013,2.2999999998996e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"142",-1.5,1,-0.75,-1,1,0.000389500000000154,-0.00461259999999997,1.28999999999824e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"143",-1.5,1,-0.75,-0.5,1,0.000481999999999871,-0.0030503999999999,1.02000000000713e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"144",-1.5,1,-0.75,0,1,0.000603299999999973,-0.00140569999999995,8.17999999999097e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"145",-1.5,1,-0.75,0.5,1,0.000630999999999937,0.000166400000000011,8.4799999999996e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"146",-1.5,1,-0.75,1,1,0.000634899999999994,0.00143439999999995,9.61000000000434e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"147",-1.5,1,-0.75,1.5,1,0.000665099999999974,0.00235049999999992,6.46999999999176e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"148",-1.5,1,-0.2,-1.5,1,0.000245199999999945,-0.0059131,-1.34000000000523e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"149",-1.5,1,-0.2,-1,1,0.00037940000000003,-0.00466160000000004,-5.80000000005576e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"150",-1.5,1,-0.2,-0.5,1,0.000512699999999922,-0.00309659999999989,-6.09999999989785e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"151",-1.5,1,-0.2,0,1,0.000627700000000009,-0.00145129999999993,6.43999999999645e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"152",-1.5,1,-0.2,0.5,1,0.000666100000000003,0.000125399999999942,6.69999999999282e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"153",-1.5,1,-0.2,1,1,0.000673900000000005,0.00139339999999999,7.69000000000464e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"154",-1.5,1,-0.2,1.5,1,0.00069969999999997,0.00231009999999998,4.58999999999321e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"155",-1.5,1,0.2,-1.5,1,0.000272499999999898,-0.00587570000000004,2.04999999999789e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"156",-1.5,1,0.2,-1,1,0.000418800000000052,-0.00462180000000001,3.3599999999967e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"157",-1.5,1,0.2,-0.5,1,0.000562899999999811,-0.00305679999999986,3.120000000012e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"158",-1.5,1,0.2,0,1,0.000680299999999967,-0.00141190000000002,9.92999999999133e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"159",-1.5,1,0.2,0.5,1,0.000712400000000057,0.000163799999999936,0.000101599999999924,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"160",-1.5,1,0.2,1,1,0.000716300000000114,0.00143289999999996,0.000110500000000013,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"161",-1.5,1,0.2,1.5,1,0.000740900000000044,0.00235169999999996,8.12999999999509e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"162",-1.5,1,0.75,-1.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"163",-1.5,1,0.75,-1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"164",-1.5,1,0.75,-0.5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
